cities.csv,City,Country,Date,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Thompson,CA,1534708800,62.6,55.74,-97.86,42,75,10.29
1,Amapa,HN,1534712400,91.4,15.09,-87.97,59,75,13.87
2,Pointe Michel,DM,1534712400,85.91,15.25,-61.38,66,40,3.36
3,Porgera,PG,1534713659,48.87,-5.46,143.15,92,12,2.37
4,Ushuaia,AR,1534712400,46.4,-54.81,-68.31,77,75,2.24
6,Esmeralda,CL,1534713659,51.21,-34.33,-70.9,72,0,2.04
7,Hermanus,ZA,1534713660,49.5,-34.42,19.24,99,92,2.93
8,Sorland,NO,1534710000,53.6,67.67,12.69,87,75,5.82
11,Yellowknife,CA,1534708800,53.6,62.45,-114.38,87,90,14.99
12,Hithadhoo,MV,1534713662,78.3,-0.6,73.08,100,76,9.08
13,Qaanaaq,GL,1534713662,41.67,77.48,-69.36,86,0,4.72
14,Puerto Ayora,EC,1534712400,77,-0.74,-90.35,65,75,16.11
15,Shache,CN,1534713663,68.04,38.42,77.24,50,12,6.51
17,Jamestown,AU,1534713498,26.91,-33.21,138.6,76,0,1.7
18,Katsuura,JP,1534713663,70.47,33.93,134.5,89,80,0.92
19,Airai,TL,1534713664,56.07,-8.93,125.41,80,0,2.04
20,Port Hardy,CA,1534708800,59,50.7,-127.42,82,90,5.82
21,Yulara,AU,1534712400,37.4,-25.24,130.99,55,0,6.93
23,Derzhavinsk,KZ,1534713665,54.45,51.1,66.31,91,92,13.56
24,Bongandanga,CD,1534713665,69.66,1.51,21.07,97,32,2.37
25,Gazalkent,UZ,1534710600,75.2,41.57,69.78,36,0,6.93
26,Vernon,CA,1534708800,69.8,50.27,-119.27,46,90,5.82
27,Punta Arenas,CL,1534712400,46.4,-53.16,-70.91,61,0,28.86
28,Caravelas,BR,1534713667,75.15,-17.73,-39.27,100,12,11.88
29,Mahebourg,MU,1534708800,71.6,-20.41,57.7,68,20,17.22
30,Tuktoyaktuk,CA,1534708800,48.2,69.44,-133.03,87,90,16.11
31,Pacific Grove,US,1534712100,69.94,36.62,-121.92,72,20,10.29
32,Oga,NG,1534713668,73.98,8.18,5.65,94,68,4.94
33,Rikitea,PF,1534713668,71.28,-23.12,-134.97,100,8,0.47
34,Port Shepstone,ZA,1534713669,62.37,-30.74,30.45,82,0,9.64
35,Aklavik,CA,1534708800,55.4,68.22,-135.01,87,75,4.7
36,Kimbe,PG,1534713669,78.03,-5.56,150.15,100,0,8.63
37,Carlisle,GB,1534711800,60.8,54.89,-2.94,100,20,4.7
38,Sungairaya,ID,1534713670,73.71,0.7,108.9,93,32,3.15
39,Krasne,UA,1534712400,62.6,49.91,24.61,93,0,2.24
41,Butaritari,KI,1534713671,77.58,3.07,172.79,100,92,12.77
42,Carnarvon,ZA,1534713671,45.54,-30.97,22.13,35,48,8.08
43,Sorong,ID,1534713672,79.56,-0.86,131.25,100,48,11.77
44,Ibaiti,BR,1534713672,69.48,-23.85,-50.19,68,0,2.26
45,Aljezur,PT,1534713672,70.11,37.31,-8.8,81,0,5.39
48,Kapaa,US,1534712760,83.26,22.08,-159.32,83,20,11.41
